Epica;ID de HU;Nombre Corto;Descripcion;Release;Logica;Dependencias;Testing;PCC;O_Optimistic;M_Most_Likely;P_Pessimistic;Te_Expected_Duration;Variance;Notas
1;HU 1.1;Configurar Proyecto;Configurar el proyecto AdonisJS 6.;R1;2;2;2;6;5;6;8;6,33;0,25;
1;HU 1.2;Pipeline CI/CD;Implementar el pipeline de CI/CD (ADR-011).;R1;2;3;2;7;6;7;9;7,33;0,25;Depende de herramientas cloud.
1;HU 1.3;Implementar Patrones Transversales;Implementar los patrones transversales (outbox, idempotencia, auditoría).;R1;3;3;4;10;7;10;15;10,50;1,78;Componentes transversales.
1;HU 1.4;Plataforma de Escenarios;Configurar la plataforma de escenarios de verificación (ADR-012).;R1;3;2;3;8;6;8;11;8,17;0,69;
1;HU 1.5;Scaffolding para Desarrollo;Como Desarrollador, quiero los comandos make:action, make:listener, make:rule y make:builder (ADR-018), para acelerar el desarrollo.;R1;3;1;3;7;5;7;11;7,50;1,00;Inversion en tooling para consistencia.
1;HU 1.6;Configurar Inertia.js y React;Como Desarrollador, quiero configurar el proyecto AdonisJS con el adaptador de Inertia.js y la estructura base de React.;R1;2;2;2;6;5;6;8;6,33;0,25;Habilitador para el Portal de Analistas.
1;HU 1.7;Prototipar Front-end;Como Diseñador UX/UI, quiero crear un prototipo navegable de alta fidelidad para las 3 pantallas principales (Bandeja, FichaPersona, FVM).;R1;2;3;3;8;6;8;11;8,17;0,69;Validacion temprana de UX/UI.
1;HU 1.8;Implementar RuleExecutorService;Como Arquitecto, quiero implementar un RuleExecutorService genérico que pueda instanciar y ejecutar dinámicamente cualquier Regla de Negocio (RDN).;R1;3;4;2;9;7;9;13;9,50;1,00;Componente critico de arquitectura.
1;HU 1.9;Definir DomainEvents y Telemetría;Como Arquitecto, quiero definir el catálogo de DomainEvents y la telemetría PDN→EDN/RDN.;R1;3;3;3;9;6;9;13;9,50;1,00;Outbox, idempotencia y correlacion PDN→EDN/RDN — R1.
2;HU 2.1;Implementar Migraciones BBDD;Implementar las migraciones de base de datos del MDLO.;R1;2;2;2;6;5;6;8;6,33;0,25;
2;HU 2.2;Implementar FrameworkResolverService;Implementar el FrameworkResolverService (ADR-003).;R1;4;2;4;10;7;10;15;10,50;1,78;Logica de resolucion de versiones.
2;HU 2.3;Cargar Artefactos Normativos;Cargar artefactos normativos (Marcos y CCL).;R1;2;2;2;6;5;6;8;6,33;0,25;
2;HU 2.4 (Spike);Analizar Modelo para Correcciones;Como Arquitecto, quiero analizar y validar el modelo de datos contra un escenario de corrección retroactiva (PDN-COR-001).;R1;3;4;2;9;7;9;13;9,50;1,00;Asegura que el modelo soporta R2.
3;HU 3.1;Otorgamiento de Pensión Simple;Implementar el proceso de otorgamiento de pensión simple.;R1;4;3;4;11;8;11;16;11,5;1,78;Agrupa subtareas 3.1.1 a 3.1.5
3;HU 3.2;Gestionar Asignación Familiar;Implementar gestión de Asignación Familiar.;R1;3;3;3;9;7;9;12;9,17;0,69;
3;HU 3.3;Gestionar Cobrantes y Retenciones;Implementar gestión de cobrantes y retenciones judiciales.;R1;4;4;4;12;8;12;18;12,67;2,78;Logica de prioridades.
3;HU 3.4;Inactivaciones y Reactivaciones Básicas;Implementar inactivaciones y reactivaciones básicas.;R1;3;3;3;9;7;9;12;9,17;0,69;
