Phase;Task_ID;Subtask_ID;Task_Description;Assigned_Role;PCC_Estimate;L;D;T;Note;Effort_Days_Real;Effort_Weeks_Real
Fase 0;F0-DBA-01;DBA-01;Definicion del esquema completo de la BBDD en Prisma;DBA/Data Eng.;15;5;5;5;Maxima complejidad por interrelaciones del Anexo B.;7,69;1,54
Fase 0;F0-ARQ-01;ARQ-01;Diseno y validacion del patron de orquestacion (PdnFactory);Tech Lead/Arq.;15;5;5;5;Componente mas complejo y critico de la arquitectura.;7,69;1,54
Fase 0;F0-ARQ-02;ARQ-02;Diseno del sistema de configuracion normativa (SnaService);Tech Lead/Arq.;10;4;2;4;Logica de seleccion de version y validacion.;5,13;1,03
Fase 0;F0-DEVOPS-01;DEVOPS-01;Creacion de la infraestructura base como codigo (IaC);DevOps;12;4;4;4;Define BBDD, red, etc.;6,15;1,23
Fase 0;F0-DEVOPS-02;DEVOPS-02;Contenerizacion del entorno de desarrollo (Dockerfile, docker-compose);DevOps;9;3;3;3;Permite entorno consistente.;4,62;0,92
Fase 0;F0-DEVOPS-03;DEVOPS-03;Creacion del pipeline de Integracion Continua (CI);DevOps;8;2;3;3;Automatiza la validacion del codigo.;4,10;0,82
Fase 0;F0-QA-01;QA-01;Creacion de herramientas de prueba (Factories y TestUtils);QA/SDET;11;4;4;3;Logica para generar datos consistentes.;5,64;1,13
Fase 1;F1-PDN-01;PDN-OTG-001.service;Implementacion de PDN de Otorgamiento (Complejo);Backend Dev;15;5;5;5;Orquesta multiples RDNs complejas.;7,00;1,40
Fase 1;F1-PDN-02;PDN-OTG-002.service;Implementacion de PDN de Otorgamiento (Medio);Backend Dev;12;4;4;4;Manipulacion de estado de entidades.;5,60;1,12
Fase 1;F1-RDN-01;CALC-OTG-001.service;Implementacion de RDN de Calculo de Sueldo Base (Complejo);Backend Dev;12;5;3;4;Logica de calculo compleja.;5,60;1,12
Fase 1;F1-RDN-02;VALID-OTG-001.service;Implementacion de RDN de Verificacion de Cotizaciones (Medio);Backend Dev;9;4;2;3;Logica de validacion con acceso a datos.;4,20;0,84
Fase 1;F1-CTRL-01;CTRL-OTG-01.service;Exposicion de la API para otorgamiento;Backend Dev;6;2;2;2;Paquete Controller Simple.;2,80;0,56
Fase 1;F1-QA-01;QA-E2E-01;Prueba E2E para el flujo de Otorgamiento de Indemnizacion;QA/SDET;14;4;5;5;Orquesta factories y verifica estado final.;7,18;1,44
Fase 2;F2-PDN-01;PDN-PAG-001.service;Implementacion de PDN de Pago (Complejo);Backend Dev;15;5;5;5;Ciclo de Pago Mensual;7,00;1,40
